c time(ms)      temp     fcross     labile   ftar    fgas   fsolid   ftot   fmet
  1.000E-01   3.165E+02  0.0000   0.52481  0.0000  0.0000  1.0000  0.0000  0.0347
  7.000E-01   3.373E+02  0.0000   0.52481  0.0000  0.0000  1.0000  0.0000  0.0347
  2.500E+00   3.997E+02  0.0000   0.52481  0.0000  0.0000  1.0000  0.0000  0.0347
  4.500E+00   4.690E+02  0.0000   0.52481  0.0000  0.0000  1.0000  0.0000  0.0347
  6.500E+00   5.384E+02  0.0000   0.52481  0.0000  0.0000  1.0000  0.0000  0.0347
  8.500E+00   6.077E+02  0.0000   0.52481  0.0000  0.0000  1.0000  0.0000  0.0347
  1.050E+01   6.771E+02  0.0000   0.52478  0.0000  0.0000  1.0000  0.0000  0.0347
  1.250E+01   7.464E+02  0.0000   0.52369  0.0015  0.0005  0.9980  0.0020  0.0334
  1.450E+01   8.158E+02  0.0000   0.50415  0.0259  0.0086  0.9655  0.0345  0.0130
  1.578E+01   8.601E+02  0.0000   0.48032  0.0306  0.0170  0.9524  0.0476  0.0138
  1.633E+01   8.793E+02  0.0000   0.44700  0.0368  0.0260  0.9372  0.0628  0.0168
  1.675E+01   8.937E+02  0.0000   0.42585  0.0413  0.0310  0.9277  0.0723  0.0192
  1.702E+01   9.033E+02  0.0000   0.40180  0.0469  0.0365  0.9166  0.0834  0.0224
  1.730E+01   9.128E+02  0.0000   0.37532  0.0536  0.0424  0.9041  0.0959  0.0267
  1.757E+01   9.223E+02  0.0000   0.34657  0.0616  0.0484  0.8900  0.1100  0.0326
  1.785E+01   9.318E+02  0.0000   0.31582  0.0711  0.0547  0.8742  0.1258  0.0405
  1.812E+01   9.413E+02  0.0001   0.28352  0.0821  0.0610  0.8569  0.1431  0.0511
  1.840E+01   9.509E+02  0.0001   0.25029  0.0946  0.0672  0.8381  0.1619  0.0650
  1.867E+01   9.604E+02  0.0002   0.21686  0.1087  0.0732  0.8181  0.1819  0.0825
  1.894E+01   9.699E+02  0.0003   0.18407  0.1239  0.0788  0.7973  0.2027  0.1037
  1.922E+01   9.794E+02  0.0006   0.15275  0.1399  0.0839  0.7762  0.2238  0.1282
  1.949E+01   9.890E+02  0.0011   0.12370  0.1562  0.0884  0.7554  0.2446  0.1548
  1.977E+01   9.985E+02  0.0018   0.09754  0.1722  0.0923  0.7355  0.2645  0.1813
  2.004E+01   1.008E+03  0.0029   0.07476  0.1873  0.0957  0.7170  0.2830  0.2058
  2.032E+01   1.018E+03  0.0047   0.05559  0.2012  0.0986  0.7002  0.2998  0.2261
  2.059E+01   1.027E+03  0.0073   0.04003  0.2136  0.1011  0.6853  0.3147  0.2410
  2.087E+01   1.037E+03  0.0110   0.02787  0.2244  0.1035  0.6721  0.3279  0.2499
  2.114E+01   1.046E+03  0.0161   0.01871  0.2338  0.1059  0.6604  0.3396  0.2524
  2.142E+01   1.056E+03  0.0228   0.01211  0.2418  0.1083  0.6499  0.3501  0.2490
  2.169E+01   1.065E+03  0.0315   0.00754  0.2488  0.1109  0.6403  0.3597  0.2401
  2.197E+01   1.075E+03  0.0425   0.00451  0.2549  0.1138  0.6314  0.3686  0.2262
  2.238E+01   1.089E+03  0.0863   0.00048  0.2675  0.1246  0.6079  0.3921  0.1709
  2.393E+01   1.143E+03  0.2505   0.00000  0.2743  0.1554  0.5703  0.4297  0.0000
  2.593E+01   1.212E+03  0.2505   0.00000  0.2743  0.1954  0.5303  0.4697  0.0000
  2.793E+01   1.281E+03  0.2505   0.00000  0.2743  0.2299  0.4958  0.5042  0.0000
  2.993E+01   1.351E+03  0.2505   0.00000  0.2743  0.2532  0.4725  0.5275  0.0000
  3.193E+01   1.420E+03  0.2505   0.00000  0.2743  0.2662  0.4595  0.5405  0.0000
  3.393E+01   1.489E+03  0.2505   0.00000  0.2743  0.2722  0.4535  0.5465  0.0000
  3.593E+01   1.559E+03  0.2505   0.00000  0.2743  0.2745  0.4512  0.5488  0.0000
  3.793E+01   1.628E+03  0.2505   0.00000  0.2743  0.2752  0.4505  0.5495  0.0000
  3.993E+01   1.697E+03  0.2505   0.00000  0.2743  0.2754  0.4503  0.5497  0.0000
  4.193E+01   1.700E+03  0.2505   0.00000  0.2743  0.2754  0.4503  0.5497  0.0000
  4.393E+01   1.700E+03  0.2505   0.00000  0.2743  0.2754  0.4502  0.5498  0.0000
  4.593E+01   1.700E+03  0.2505   0.00000  0.2743  0.2755  0.4502  0.5498  0.0000
  4.793E+01   1.700E+03  0.2505   0.00000  0.2743  0.2755  0.4502  0.5498  0.0000
  4.993E+01   1.700E+03  0.2505   0.00000  0.2743  0.2755  0.4502  0.5498  0.0000
  5.193E+01   1.700E+03  0.2505   0.00000  0.2743  0.2755  0.4502  0.5498  0.0000
  5.393E+01   1.700E+03  0.2505   0.00000  0.2743  0.2755  0.4502  0.5498  0.0000
  5.593E+01   1.700E+03  0.2505   0.00000  0.2743  0.2755  0.4502  0.5498  0.0000
  5.793E+01   1.700E+03  0.2505   0.00000  0.2743  0.2755  0.4502  0.5498  0.0000
  5.993E+01   1.700E+03  0.2505   0.00000  0.2743  0.2755  0.4502  0.5498  0.0000
  5.993E+01   1.700E+03  0.2505   0.00000  0.2743  0.2755  0.4502  0.5498  0.0000
