c time(ms)      l         c      del/2    g1/2      g2/2      gtot     p
  1.000E-01  0.52481  0.00000  0.47519  0.00000  0.00000  0.00000  0.52481
  7.000E-01  0.52481  0.00000  0.47519  0.00000  0.00000  0.00000  0.52481
  2.500E+00  0.52481  0.00000  0.47519  0.00000  0.00000  0.00000  0.52481
  4.500E+00  0.52481  0.00000  0.47519  0.00000  0.00000  0.00000  0.52481
  6.500E+00  0.52481  0.00000  0.47519  0.00000  0.00000  0.00000  0.52481
  8.500E+00  0.52481  0.00000  0.47519  0.00000  0.00000  0.00000  0.52481
  1.050E+01  0.52478  0.00002  0.47519  0.00001  0.00002  0.00003  0.52480
  1.250E+01  0.52369  0.00059  0.47513  0.00060  0.00059  0.00119  0.52428
  1.450E+01  0.50415  0.01087  0.47276  0.01221  0.01087  0.02309  0.51502
  1.578E+01  0.48032  0.02342  0.47369  0.02257  0.02342  0.04599  0.50374
  1.633E+01  0.44700  0.04095  0.48227  0.02978  0.04095  0.07073  0.48795
  1.675E+01  0.42585  0.05208  0.48917  0.03289  0.05208  0.08498  0.47794
  1.702E+01  0.40180  0.06474  0.49753  0.03593  0.06474  0.10067  0.46654
  1.730E+01  0.37532  0.07868  0.50722  0.03878  0.07868  0.11746  0.45400
  1.757E+01  0.34657  0.09381  0.51808  0.04154  0.09381  0.13535  0.44038
  1.785E+01  0.31582  0.11000  0.52992  0.04426  0.11000  0.15426  0.42581
  1.812E+01  0.28352  0.12699  0.54252  0.04697  0.12699  0.17396  0.41052
  1.840E+01  0.25029  0.14449  0.55549  0.04974  0.14449  0.19422  0.39477
  1.867E+01  0.21686  0.16208  0.56848  0.05258  0.16208  0.21466  0.37894
  1.894E+01  0.18407  0.17934  0.58103  0.05556  0.17934  0.23490  0.36341
  1.922E+01  0.15275  0.19582  0.59266  0.05877  0.19582  0.25459  0.34857
  1.949E+01  0.12370  0.21111  0.60295  0.06224  0.21111  0.27335  0.33481
  1.977E+01  0.09754  0.22488  0.61150  0.06608  0.22488  0.29096  0.32242
  2.004E+01  0.07476  0.23687  0.61795  0.07042  0.23687  0.30729  0.31163
  2.032E+01  0.05559  0.24696  0.62206  0.07539  0.24696  0.32234  0.30255
  2.059E+01  0.04003  0.25515  0.62372  0.08110  0.25515  0.33625  0.29518
  2.087E+01  0.02787  0.26155  0.62286  0.08773  0.26155  0.34928  0.28942
  2.114E+01  0.01871  0.26637  0.61946  0.09546  0.26637  0.36183  0.28508
  2.142E+01  0.01211  0.26984  0.61357  0.10448  0.26984  0.37432  0.28195
  2.169E+01  0.00754  0.27225  0.60531  0.11490  0.27225  0.38715  0.27979
  2.197E+01  0.00451  0.27384  0.59484  0.12681  0.27384  0.40065  0.27835
  2.238E+01  0.00048  0.27596  0.55578  0.16777  0.27596  0.44374  0.27644
  2.393E+01  0.00000  0.27626  0.43582  0.28792  0.27626  0.56418  0.27626
  2.593E+01  0.00000  0.27626  0.29058  0.43315  0.27626  0.70942  0.27626
  2.793E+01  0.00000  0.27626  0.16550  0.55824  0.27626  0.83450  0.27626
  2.993E+01  0.00000  0.27626  0.08064  0.64310  0.27626  0.91936  0.27626
  3.193E+01  0.00000  0.27626  0.03346  0.69027  0.27626  0.96654  0.27626
  3.393E+01  0.00000  0.27626  0.01181  0.71193  0.27626  0.98819  0.27626
  3.593E+01  0.00000  0.27626  0.00348  0.72026  0.27626  0.99652  0.27626
  3.793E+01  0.00000  0.27626  0.00082  0.72292  0.27626  0.99918  0.27626
  3.993E+01  0.00000  0.27626  0.00015  0.72359  0.27626  0.99985  0.27626
  4.193E+01  0.00000  0.27626  0.00004  0.72370  0.27626  0.99996  0.27626
  4.393E+01  0.00000  0.27626  0.00001  0.72373  0.27626  0.99999  0.27626
  4.593E+01  0.00000  0.27626  0.00000  0.72373  0.27626  1.00000  0.27626
  4.793E+01  0.00000  0.27626  0.00000  0.72374  0.27626  1.00000  0.27626
  4.993E+01  0.00000  0.27626  0.00000  0.72374  0.27626  1.00000  0.27626
  5.193E+01  0.00000  0.27626  0.00000  0.72374  0.27626  1.00000  0.27626
  5.393E+01  0.00000  0.27626  0.00000  0.72374  0.27626  1.00000  0.27626
  5.593E+01  0.00000  0.27626  0.00000  0.72374  0.27626  1.00000  0.27626
  5.793E+01  0.00000  0.27626  0.00000  0.72374  0.27626  1.00000  0.27626
  5.993E+01  0.00000  0.27626  0.00000  0.72374  0.27626  1.00000  0.27626
