c time(ms)      fgas     fh20     fco2     fch4     fco     fother    yh20     yco2     ych4     yco     yother    Xgas
  1.000E-01   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.8166   0.1808   0.0000   0.0000   0.0027   0.0000
  7.000E-01   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.8166   0.1808   0.0000   0.0000   0.0027   0.0000
  2.500E+00   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.8166   0.1808   0.0000   0.0000   0.0027   0.0000
  4.500E+00   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.8166   0.1808   0.0000   0.0000   0.0027   0.0000
  6.500E+00   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.8166   0.1808   0.0000   0.0000   0.0027   0.0000
  8.500E+00   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.8166   0.1808   0.0000   0.0000   0.0027   0.0000
  1.050E+01   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.8166   0.1808   0.0000   0.0000   0.0027   0.0000
  1.250E+01   0.0005   0.0004   0.0001   0.0000   0.0000   0.0000   0.8158   0.1806   0.0000   0.0000   0.0036   0.0012
  1.450E+01   0.0086   0.0068   0.0015   0.0001   0.0000   0.0002   0.7909   0.1776   0.0096   0.0000   0.0219   0.0231
  1.578E+01   0.0170   0.0124   0.0030   0.0009   0.0000   0.0007   0.7311   0.1745   0.0529   0.0000   0.0415   0.0460
  1.633E+01   0.0260   0.0179   0.0042   0.0022   0.0000   0.0016   0.6886   0.1631   0.0863   0.0000   0.0620   0.0707
  1.675E+01   0.0310   0.0209   0.0048   0.0030   0.0000   0.0023   0.6756   0.1556   0.0954   0.0000   0.0734   0.0850
  1.702E+01   0.0365   0.0242   0.0054   0.0039   0.0000   0.0031   0.6613   0.1473   0.1055   0.0000   0.0859   0.1007
  1.730E+01   0.0424   0.0274   0.0059   0.0049   0.0000   0.0042   0.6461   0.1384   0.1162   0.0000   0.0993   0.1175
  1.757E+01   0.0484   0.0305   0.0062   0.0062   0.0000   0.0055   0.6298   0.1290   0.1276   0.0000   0.1136   0.1354
  1.785E+01   0.0547   0.0334   0.0069   0.0074   0.0000   0.0069   0.6112   0.1255   0.1359   0.0008   0.1266   0.1543
  1.812E+01   0.0610   0.0360   0.0078   0.0086   0.0001   0.0084   0.5907   0.1277   0.1410   0.0024   0.1382   0.1740
  1.840E+01   0.0672   0.0382   0.0088   0.0098   0.0004   0.0100   0.5683   0.1316   0.1456   0.0054   0.1491   0.1942
  1.867E+01   0.0732   0.0401   0.0098   0.0110   0.0007   0.0116   0.5479   0.1343   0.1503   0.0093   0.1582   0.2147
  1.894E+01   0.0788   0.0423   0.0104   0.0123   0.0012   0.0127   0.5364   0.1313   0.1559   0.0149   0.1615   0.2349
  1.922E+01   0.0839   0.0441   0.0108   0.0135   0.0017   0.0138   0.5253   0.1285   0.1613   0.0202   0.1647   0.2546
  1.949E+01   0.0884   0.0455   0.0111   0.0147   0.0022   0.0148   0.5147   0.1257   0.1664   0.0253   0.1678   0.2734
  1.977E+01   0.0923   0.0466   0.0114   0.0158   0.0028   0.0158   0.5047   0.1232   0.1713   0.0301   0.1707   0.2910
  2.004E+01   0.0957   0.0476   0.0116   0.0167   0.0034   0.0164   0.4975   0.1212   0.1744   0.0355   0.1715   0.3073
  2.032E+01   0.0986   0.0484   0.0118   0.0175   0.0040   0.0170   0.4909   0.1194   0.1772   0.0403   0.1721   0.3223
  2.059E+01   0.1011   0.0491   0.0119   0.0182   0.0045   0.0175   0.4854   0.1179   0.1795   0.0445   0.1727   0.3363
  2.087E+01   0.1035   0.0498   0.0121   0.0188   0.0050   0.0179   0.4810   0.1166   0.1813   0.0479   0.1731   0.3493
  2.114E+01   0.1059   0.0505   0.0122   0.0194   0.0054   0.0184   0.4767   0.1153   0.1831   0.0512   0.1736   0.3618
  2.142E+01   0.1083   0.0512   0.0124   0.0200   0.0059   0.0188   0.4725   0.1141   0.1849   0.0545   0.1740   0.3743
  2.169E+01   0.1109   0.0519   0.0125   0.0207   0.0064   0.0193   0.4681   0.1128   0.1867   0.0579   0.1744   0.3872
  2.197E+01   0.1138   0.0527   0.0127   0.0215   0.0070   0.0199   0.4636   0.1115   0.1886   0.0615   0.1749   0.4007
  2.238E+01   0.1246   0.0562   0.0133   0.0241   0.0090   0.0220   0.4509   0.1070   0.1933   0.0725   0.1763   0.4437
  2.393E+01   0.1554   0.0654   0.0149   0.0312   0.0158   0.0281   0.4207   0.0960   0.2008   0.1019   0.1807   0.5642
