c time(ms)      l         c      del/2    g1/2      g2/2      gtot     p
  1.000E-01  0.52481  0.00000  0.47519  0.00000  0.00000  0.00000  0.52481
  3.000E-01  0.52481  0.00000  0.47519  0.00000  0.00000  0.00000  0.52481
  7.000E-01  0.52481  0.00000  0.47519  0.00000  0.00000  0.00000  0.52481
  1.500E+00  0.52481  0.00000  0.47519  0.00000  0.00000  0.00000  0.52481
  2.500E+00  0.52481  0.00000  0.47519  0.00000  0.00000  0.00000  0.52481
  3.500E+00  0.52481  0.00000  0.47519  0.00000  0.00000  0.00000  0.52481
  4.500E+00  0.52481  0.00000  0.47519  0.00000  0.00000  0.00000  0.52481
  5.500E+00  0.52474  0.00004  0.47519  0.00003  0.00004  0.00007  0.52478
  6.500E+00  0.52270  0.00111  0.47505  0.00114  0.00111  0.00226  0.52381
  7.500E+00  0.51270  0.00638  0.47495  0.00598  0.00638  0.01235  0.51907
  7.874E+00  0.50270  0.01164  0.47487  0.01079  0.01164  0.02243  0.51434
  8.027E+00  0.48996  0.01835  0.47334  0.01836  0.01835  0.03670  0.50830
  8.181E+00  0.47547  0.02597  0.47543  0.02313  0.02597  0.04910  0.50144
  8.334E+00  0.45872  0.03478  0.47937  0.02713  0.03478  0.06191  0.49351
  8.487E+00  0.43936  0.04497  0.48500  0.03067  0.04497  0.07564  0.48434
  8.641E+00  0.42936  0.05024  0.48825  0.03216  0.05024  0.08239  0.47960
  8.710E+00  0.41813  0.05615  0.49197  0.03375  0.05615  0.08990  0.47428
  8.779E+00  0.40633  0.06236  0.49601  0.03531  0.06236  0.09767  0.46869
  8.848E+00  0.39395  0.06887  0.50036  0.03682  0.06887  0.10569  0.46282
  8.917E+00  0.38102  0.07568  0.50502  0.03828  0.07568  0.11396  0.45670
  8.986E+00  0.36754  0.08277  0.50998  0.03971  0.08277  0.12248  0.45032
  9.055E+00  0.35352  0.09015  0.51519  0.04113  0.09015  0.13128  0.44368
  9.124E+00  0.33902  0.09779  0.52065  0.04255  0.09779  0.14033  0.43680
  9.193E+00  0.32406  0.10566  0.52633  0.04395  0.10566  0.14961  0.42972
  9.262E+00  0.30870  0.11374  0.53221  0.04535  0.11374  0.15909  0.42244
  9.331E+00  0.29301  0.12200  0.53825  0.04674  0.12200  0.16874  0.41501
  9.400E+00  0.27705  0.13040  0.54440  0.04815  0.13040  0.17855  0.40745
  9.469E+00  0.26090  0.13890  0.55062  0.04958  0.13890  0.18849  0.39980
  9.538E+00  0.24464  0.14746  0.55687  0.05103  0.14746  0.19849  0.39210
  9.607E+00  0.22837  0.15602  0.56311  0.05250  0.15602  0.20852  0.38439
  9.676E+00  0.21218  0.16455  0.56929  0.05399  0.16455  0.21853  0.37672
  9.745E+00  0.19616  0.17297  0.57534  0.05553  0.17297  0.22850  0.36914
  9.814E+00  0.18042  0.18126  0.58120  0.05712  0.18126  0.23837  0.36168
  9.883E+00  0.16505  0.18935  0.58684  0.05876  0.18935  0.24811  0.35440
  9.952E+00  0.15015  0.19719  0.59219  0.06047  0.19719  0.25766  0.34734
  1.002E+01  0.13580  0.20474  0.59722  0.06224  0.20474  0.26698  0.34054
  1.009E+01  0.12208  0.21196  0.60187  0.06409  0.21196  0.27605  0.33404
  1.016E+01  0.10905  0.21882  0.60610  0.06603  0.21882  0.28485  0.32787
  1.023E+01  0.09678  0.22528  0.60985  0.06808  0.22528  0.29336  0.32206
  1.030E+01  0.08531  0.23132  0.61311  0.07027  0.23132  0.30158  0.31663
  1.037E+01  0.07468  0.23691  0.61582  0.07259  0.23691  0.30950  0.31159
  1.044E+01  0.06491  0.24205  0.61798  0.07506  0.24205  0.31711  0.30696
  1.050E+01  0.05600  0.24674  0.61956  0.07769  0.24674  0.32444  0.30274
  1.057E+01  0.04795  0.25098  0.62056  0.08051  0.25098  0.33149  0.29893
  1.064E+01  0.04074  0.25478  0.62096  0.08353  0.25478  0.33831  0.29551
  1.071E+01  0.03433  0.25815  0.62076  0.08676  0.25815  0.34491  0.29248
  1.078E+01  0.02869  0.26112  0.61996  0.09024  0.26112  0.35136  0.28981
  1.085E+01  0.02377  0.26370  0.61854  0.09398  0.26370  0.35769  0.28748
  1.092E+01  0.01953  0.26594  0.61652  0.09801  0.26594  0.36395  0.28547
