c time(ms)      fgas     fh20     fco2     fch4     fco     fother    yh20     yco2     ych4     yco     yother    Xgas
  1.000E-01   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.8166   0.1808   0.0000   0.0000   0.0027   0.0000
  3.000E-01   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.8166   0.1808   0.0000   0.0000   0.0027   0.0000
  7.000E-01   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.8166   0.1808   0.0000   0.0000   0.0027   0.0000
  1.500E+00   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.8166   0.1808   0.0000   0.0000   0.0027   0.0000
  2.500E+00   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.8166   0.1808   0.0000   0.0000   0.0027   0.0000
  3.500E+00   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.8166   0.1808   0.0000   0.0000   0.0027   0.0000
  4.500E+00   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.8166   0.1808   0.0000   0.0000   0.0027   0.0000
  5.500E+00   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.8165   0.1807   0.0000   0.0000   0.0027   0.0001
  6.500E+00   0.0009   0.0007   0.0002   0.0000   0.0000   0.0000   0.8150   0.1804   0.0000   0.0000   0.0045   0.0023
  7.500E+00   0.0047   0.0038   0.0008   0.0000   0.0000   0.0001   0.8081   0.1791   0.0000   0.0000   0.0128   0.0124
  7.874E+00   0.0083   0.0066   0.0015   0.0001   0.0000   0.0002   0.7926   0.1777   0.0084   0.0000   0.0213   0.0224
  8.027E+00   0.0136   0.0102   0.0024   0.0005   0.0000   0.0005   0.7554   0.1757   0.0354   0.0000   0.0335   0.0367
  8.181E+00   0.0181   0.0131   0.0031   0.0011   0.0000   0.0008   0.7230   0.1741   0.0588   0.0000   0.0442   0.0491
  8.334E+00   0.0227   0.0158   0.0038   0.0018   0.0000   0.0012   0.6966   0.1677   0.0808   0.0000   0.0549   0.0619
  8.487E+00   0.0277   0.0189   0.0044   0.0025   0.0000   0.0018   0.6841   0.1605   0.0894   0.0000   0.0659   0.0756
  8.641E+00   0.0300   0.0204   0.0047   0.0028   0.0000   0.0021   0.6780   0.1570   0.0938   0.0000   0.0713   0.0824
  8.710E+00   0.0327   0.0219   0.0050   0.0032   0.0000   0.0025   0.6712   0.1530   0.0986   0.0000   0.0773   0.0899
  8.779E+00   0.0354   0.0235   0.0053   0.0037   0.0000   0.0030   0.6641   0.1489   0.1035   0.0000   0.0835   0.0977
  8.848E+00   0.0382   0.0251   0.0055   0.0042   0.0000   0.0034   0.6568   0.1447   0.1087   0.0000   0.0899   0.1057
  8.917E+00   0.0411   0.0267   0.0058   0.0047   0.0000   0.0040   0.6492   0.1403   0.1140   0.0000   0.0965   0.1140
  8.986E+00   0.0440   0.0282   0.0060   0.0052   0.0000   0.0045   0.6415   0.1358   0.1194   0.0000   0.1033   0.1225
  9.055E+00   0.0469   0.0297   0.0062   0.0059   0.0000   0.0052   0.6335   0.1311   0.1250   0.0000   0.1104   0.1313
  9.124E+00   0.0499   0.0312   0.0063   0.0065   0.0000   0.0059   0.6252   0.1263   0.1308   0.0000   0.1176   0.1403
  9.193E+00   0.0530   0.0326   0.0066   0.0071   0.0000   0.0066   0.6161   0.1250   0.1346   0.0005   0.1238   0.1496
  9.262E+00   0.0561   0.0340   0.0071   0.0077   0.0001   0.0073   0.6062   0.1261   0.1371   0.0012   0.1294   0.1591
  9.331E+00   0.0591   0.0352   0.0075   0.0083   0.0001   0.0080   0.5961   0.1271   0.1396   0.0020   0.1351   0.1687
  9.400E+00   0.0622   0.0364   0.0080   0.0088   0.0002   0.0088   0.5859   0.1283   0.1422   0.0029   0.1408   0.1786
  9.469E+00   0.0652   0.0375   0.0085   0.0094   0.0003   0.0095   0.5747   0.1304   0.1443   0.0045   0.1461   0.1885
  9.538E+00   0.0682   0.0384   0.0090   0.0100   0.0004   0.0103   0.5635   0.1325   0.1465   0.0062   0.1513   0.1985
  9.607E+00   0.0711   0.0393   0.0096   0.0106   0.0006   0.0111   0.5522   0.1347   0.1487   0.0078   0.1566   0.2085
