time	fch4	fco	temp	fh20	fco2	fother
0.01	0.0	0.0	1010.0	0.0	0.0046	0.0001	
0.01169	0.0	0.0	1012.0	0.0	0.0115	0.0002	
0.01338	0.0	0.0	1013.0	0.0	0.017	0.0003	
0.01507	0.0	0.0	1015.0	0.0	0.0212	0.0004	
0.01676	0.0	0.0	1017.0	0.0	0.0247	0.0004	
0.01844	0.0	0.0	1018.0	0.0	0.028	0.0005	
0.02013	0.0	0.0001	1020.0	0.0007	0.0301	0.0005	
0.02182	0.0	0.0002	1022.0	0.0017	0.0318	0.0005	
0.02351	0.0	0.0004	1024.0	0.0028	0.0332	0.0005	
0.0252	0.0	0.0006	1025.0	0.004	0.0344	0.0006	
0.02689	0.0	0.0007	1027.0	0.0052	0.0355	0.0006	
0.02858	0.0	0.0009	1029.0	0.0066	0.0363	0.0006	
0.03027	0.0	0.0011	1030.0	0.008	0.0371	0.0006	
0.03196	0.0	0.0014	1032.0	0.0095	0.0376	0.0006	
0.03364	0.0	0.0016	1034.0	0.011	0.0381	0.0006	
0.03533	0.0	0.0018	1035.0	0.0127	0.0384	0.0007	
0.03702	0.0	0.0021	1037.0	0.0144	0.0387	0.0007	
0.03871	0.0	0.0023	1039.0	0.0161	0.0388	0.0007	
0.0404	0.0	0.0026	1040.0	0.018	0.0388	0.0007	
0.04209	0.0	0.0028	1042.0	0.0199	0.0387	0.0007	
0.04378	0.0	0.0031	1044.0	0.0219	0.0385	0.0007	
0.04547	0.0	0.0034	1045.0	0.0239	0.0382	0.0007	
0.04716	0.0	0.0037	1047.0	0.026	0.0378	0.0007	
0.04884	0.0	0.0039	1049.0	0.0271	0.0384	0.0007	
0.05053	0.0001	0.0041	1051.0	0.028	0.0392	0.0008	
0.05222	0.0001	0.0043	1052.0	0.0289	0.04	0.0009	
0.05391	0.0002	0.0045	1054.0	0.0297	0.0407	0.001	
0.0556	0.0002	0.0047	1056.0	0.0306	0.0415	0.0011	
0.05729	0.0003	0.0049	1057.0	0.0315	0.0422	0.0012	
